"SAMPLE 2023-01-13_08-39-52 csv_sources\0_fertoing_source.csv search_mode='any' keywords=['болт', 'винт', 'гайка', 'шайба', 'шуруп'] exclude=[]"
Шайба плоская увеличенная высокопрочная М6 А4 щая 200HV DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '200': 1, 'hv': 1}), 'K': {'шайба'}}"
"Шайба плоская увеличенная М 8 (d 8,4) А4-Нерж. DIN 9021_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '8,4': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М10 А2 нерж DIN 9021 / ISO 7093 / ГОСТ 6958-78,"{'din': '9021', 'gost': '6958-78', 'iso': '7093', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М12 DIN 9021_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М12 Zn DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М12 А2 DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М12 А4 DIN 9021 / ГОСТ 6958-78,"{'din': '9021', 'gost': '6958-78', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М14 оцинкованная DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'14': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М16 (17) А2-Нерж DIN 9021 / ISO 7093 / ГОСТ 6958-78,"{'din': '9021', 'gost': '6958-78', 'iso': '7093', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'16': 1, '17': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М16 оцинкованная DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М18 оцинкованная DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'18': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М20 А4 нерж DIN 9021 / ГОСТ 6958-78,"{'din': '9021', 'gost': '6958-78', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'20': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М22 оцинкованная DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'22': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М24 оцинкованная DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'24': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М3 DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М4 А4 нерж DIN 9021 / ГОСТ 6958-78,"{'din': '9021', 'gost': '6958-78', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'4': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М4 нержавеющая сталь А2 DIN 9021_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М4 оцинкованная DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М5 А2 нерж DIN 9021 / ISO 7093,"{'din': '9021', 'gost': None, 'iso': '7093', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М5 оцинкованная DIN 9021 / ISO 7093 / ГОСТ 6958-78,"{'din': '9021', 'gost': '6958-78', 'iso': '7093', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М6 А4 нерж DIN 9021 ГОСТ 6958-78,"{'din': '9021', 'gost': '6958-78', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М6 нержавеющая сталь А2 DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М6 нержавеющая сталь А2 DIN 9021 10 шт/уп,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '10': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М6 оцинкованная DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М8 DIN 9021_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М8 А2 DIN 9021 / ГОСТ 6958-78,"{'din': '9021', 'gost': '6958-78', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М8 А4 нерж DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная М8 оцинкованная DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
"Шайба плоская, М5 M5 Plain Washer_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'5': 2, ',': 1, 'plain': 1, 'washer': 1}), 'K': {'шайба'}}"
Шайба по чертежу МТБП.741124.041_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'.741124.041': 1}), 'K': {'мтбп', 'чертёж', 'шайба'}}"
Шайба поворотного кулака УАЗ Патриот_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter(), 'K': {'кулак', 'уаз', 'шайба', 'патриот'}}"
Шайба подшипника ступицы Замочная_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter(), 'K': {'ступица', 'шайба', 'подшипник'}}"
Шайба подшипника ступицы стопорная_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter(), 'K': {'ступица', 'шайба', 'подшипник'}}"
Шайба прокладка Solas арт. SDSP_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': 'SDSP', 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'solas': 1}), 'K': {'прокладка', 'шайба'}}"
Шайба прокладка для SUZUKI 90-115 л.с. SOLAS арт. SDSP,"{'din': None, 'gost': None, 'iso': None, 'sku': 'SDSP', 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'.': 2, 'suzuki': 1, '90': 1, '115': 1, 'solas': 1}), 'K': {'прокладка', 'шайба'}}"
Шайба простая М05 DIN125 /250шт/_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'05': 1, '250': 1}), 'K': {'шайба'}}"
Шайба простая М06 DIN125 /250шт/_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'06': 1, '250': 1}), 'K': {'шайба'}}"
Шайба пружинная - Гровер М 8 А4-нерж. DIN 127 В (EUR)_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '127', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, 'eur': 1}), 'K': {'шайба', 'гровер'}}"
Шайба пружинная гровер М8 оцинкованная DIN 7980,"{'din': '7980', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба', 'гровер'}}"
Шайба пружинная М24 Zn DIN 127 / ГОСТ 6402-70,"{'din': '127', 'gost': '6402-70', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'24': 1}), 'K': {'шайба'}}"
Шайба пружинная одновитковая волнистая М10 А2-Нерж DIN 128 B / ГОСТ 6402-70,"{'din': '128', 'gost': '6402-70', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'шайба'}}"
Шайба пружинная одновитковая волнистая М6 А2-Нерж DIN 128 B,"{'din': '128', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1}), 'K': {'шайба'}}"
Шайба пружинная одовитковая изогнутая М12 А2 нержавеющая DIN 128 B,"{'din': '128', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба пружинная одовитковая изогнутая М12 цинк DIN 128 А,"{'din': '128', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба пружинная одовитковая изогнутая М16 А2 нерж DIN 128 A,"{'din': '128', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
Шайба пружинная одовитковая изогнутая М16 А4 нерж DIN 128 A,"{'din': '128', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
Шайба пружинная одовитковая изогнутая М16 цинк DIN 128 А,"{'din': '128', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
Шайба пружинная одовитковая изогнутая М5 А2 DIN 128 A,"{'din': '128', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1}), 'K': {'шайба'}}"
Шайба пружинная одовитковая изогнутая М5 А2 нерж DIN 128 А,"{'din': '128', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1}), 'K': {'шайба'}}"
Шайба пружинная одовитковая изогнутая М5 А4 DIN 128 A,"{'din': '128', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'5': 1}), 'K': {'шайба'}}"
Шайба пружинная одовитковая изогнутая М5 оцинкованная DIN 128 А,"{'din': '128', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1}), 'K': {'шайба'}}"
Шайба пружинная оцинкованная 20x33.6 мм DIN 127 2 шт,"{'din': '127', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'20': 1, '33.6': 1, '2': 1}), 'K': {'шайба'}}"
Шайба пружинная с внешними зубьями М10 А2 нержавеющая DIN 6797 A,"{'din': '6797', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'зуб', 'шайба'}}"
Шайба пружинная тарельчатая М10 фосфатированная DIN 6796,"{'din': '6796', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'шайба'}}"
Шайба пружинная тарельчатая М16 фосфатированная DIN 6796,"{'din': '6796', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
Шайба регулировочная,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter(), 'K': {'шайба'}}"
"""Шайба с уплотнительной вставкой 1 2"""" BSP Dowty seal_НЕ_ИСПОЛЬЗУЕТСЯ""","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'1': 1, '2': 1, 'bsp': 1, 'dowty': 1, 'seal': 1}), 'K': {'шайба', 'вставка'}}"
"""Шайба с уплотнительной вставкой 1 4"""" BSP Dowty seal_НЕ_ИСПОЛЬЗУЕТСЯ""","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'1': 1, '4': 1, 'bsp': 1, 'dowty': 1, 'seal': 1}), 'K': {'шайба', 'вставка'}}"
"""Шайба с уплотнительной вставкой 3 4"""" BSP Dowty seal_НЕ_ИСПОЛЬЗУЕТСЯ""","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'3': 1, '4': 1, 'bsp': 1, 'dowty': 1, 'seal': 1}), 'K': {'шайба', 'вставка'}}"
"""Шайба с уплотнительной вставкой 3 8"""" BSP Dowty seal_НЕ_ИСПОЛЬЗУЕТСЯ""","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'3': 1, '8': 1, 'bsp': 1, 'dowty': 1, 'seal': 1}), 'K': {'шайба', 'вставка'}}"
"""Шайба с уплотнительной вставкой SEA-0015/1/8"""" BSPP - S/S_НЕ_ИСПОЛЬЗУЕТСЯ""","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'sea': 1, '0015': 1, '1': 1, '8': 1, 'bspp': 1}), 'K': {'шайба', 'вставка'}}"
Шайба самофиксирующаяся 1/4 Zn_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'1': 1, '4': 1}), 'K': {'шайба'}}"
Шайба специальная 040.02.00.00.04_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'040.02.00.00.04': 1}), 'K': {'шайба'}}"
"Шайба стопорная DIN 6798 J с внутренними зубьями 23,0 А2-Нерж.","{'din': '6798', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'23,0': 1}), 'K': {'зуб', 'шайба'}}"
Шайба стопорная WSHR LOCK SFT 002-1560,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'wshr': 1, 'lock': 1, 'sft': 1, '002': 1, '1560': 1}), 'K': {'шайба'}}"
Шайба стопорнаяСМ220600,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'220600': 1}), 'K': {'шайба'}}"
"Шайба сферическая выгнутая 8,4 M8 DIN 6319 C","{'din': '6319', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.4', 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба сферическая выгнутая d13 M12 Цинк DIN 6319 C,"{'din': '6319', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'13': 1, '12': 1}), 'K': {'шайба'}}"
Шайба сферическая выгнутая М16 Zn DIN 6319 C,"{'din': '6319', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
Шайба толстая установочная из акрила М6х2,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, '2': 1}), 'K': {'шайба', 'толстой', 'акрил'}}"
Шайба увеличенная М10 А2 нерж 6 шт,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '6': 1}), 'K': {'шайба'}}"
Шайба узкая М 8_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба уплотнительная 1/4 BSP,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'1': 1, '4': 1, 'bsp': 1}), 'K': {'шайба'}}"
Шайба уплотнительная 1/4 BSP bonded,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'1': 1, '4': 1, 'bsp': 1, 'bonded': 1}), 'K': {'шайба'}}"
